drug_name,side_effects,generic_name
carboplatin,"Carboplatin may cause unwanted effects, particularly because carboplatin interferes with the growth of normal cells as well as cancer cells. For example, the occurrence of another cancer (secondary malignancy) has been reported in patients receiving cancer chemotherapy with multiple drugs. It is not always possible to tell whether such effects are caused by carboplatin, another drug you may be taking, or your illness. Because some of these effects may be serious, you will need close medical supervision during treatment with carboplatin. The most serious side effects of carboplatin are: bleeding and reduced blood cells, including reduced red blood cells (anemia) and platelets (needed for proper blood clotting), which may be severe enough to require blood transfusion. You should tell ",carboplatin Brand name: Paraplatin
Leukeran,"a seizure; an unusual mass or lump; severe vomiting or diarrhea ; new or worsening cough; bone marrow suppression-- dizziness , pale lips or fingernail beds, fast heart rate , getting easily tired or short of breath; liver problems--loss of appetite, stomach pain (upper right side), dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of Leukeran may include: bone marrow suppression; low blood cell counts; missed menstrual periods; nausea , vomiting, diarrhea; or sores or white patches in or around your mouth.",chlorambucil
chlorambucil,"What are the serious (bad) side effects of chlorambucil? Allergic Reactions: You should immediately get emergency medical help if you have signs of: allergic reaction (difficulty breathing, swelling in your face or throat, hives ) or a severe skin reaction (fever, sore throat , burning eyes, skin pain, red or purple skin rash with blistering and peeling). Other serious (bad) side effects: You should call ",Chlorambucil Brand name: Leukeran
fluorouracil,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Fluorouracil may cause serious side effects. Call ",fluorouracil (injection)
doxorubicin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some side effects may occur during the injection. Tell your caregiver right away if you feel dizzy, nauseated, light-headed, sweaty, or have a headache , chest tightness, back pain , trouble breathing, or swelling in your face. Doxorubicin may cause serious side effects. Call ",doxorubicin
etoposide,"sudden chest pain or discomfort, wheezing, dry cough or hack; easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), purple or red pinpoint spots under your skin; vision problems; seizure (convulsions); liver problems--loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet; or low white blood cell counts--fever, mouth sores, skin sores, sore throat, cough, trouble breathing. Common side effects of etoposide may include: sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste; nausea , vomiting ; or temporary hair loss .",etoposide (oral)
cyclophosphamide,"new worsening cough, shortness of breath, trouble breathing while lying down; a light-headed feeling, like you might pass out; pink or red urine, pain or burning when you urinate; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; any wound that will not heal; heart problems--swelling, rapid weight gain, pounding heartbeats or fluttering in your chest; liver problems--loss of appetite, stomach pain (upper right side), bloating , dark urine, jaundice (yellowing of the skin or eyes); low sodium level-- headache , confusion, slurred speech, severe weakness, vomiting , loss of coordination, feeling unsteady; or low blood cell counts--fever, chills, tiredness, blisters or ulcers in your mouth, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of cyclophosphamide may include: fever, low blood cell counts; mouth sores; nausea , vomiting, diarrhea ; hair loss ; or missed mens",cyclophosphamide (oral/injection)
vincristine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Vincristine may cause serious side effects. Call ",vincristine
Cosmegen,"swelling or tenderness in your stomach (upper right side), rapid weight gain; swelling in your arms or legs; dark urine, jaundice (yellowing of the skin or eyes); redness of your skin or the inside of your mouth and throat (if you are also receiving radiation treatment); sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste; blisters, ulcers, or other skin changes where an injection was given; or low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of Cosmegen may include: hair loss ; fever, infections, low blood cell counts; rash; trouble swallowing; nausea , vomiting ; or tiredness.",dactinomycin
Etopophos,"pain, burning, irritation, or skin changes where the injection was given; severe nausea and vomiting ; easy bruising, unusual bleeding, purple or red spots under your skin; or low white blood cell counts--fever, mouth sores, skin sores, sore throat, cough, trouble breathing. Common side effects of Etopophos may include: nausea , vomiting ; constipation ; fever; trouble swallowing; or unusual or unpleasant taste in the mouth.",etoposide phosphate
Ifex,"fever, chills, flu symptoms; mouth and throat ulcers; skin sores, pale skin, cold hands and feet; easy bruising, unusual bleeding; rapid heart rate, shallow breathing; or feeling light-headed or short of breath. Call ",ifosfamide
Toposar,"low white blood cell counts--fever, mouth sores, skin sores, sore throat, cough, trouble breathing; easy bruising, unusual bleeding, purple or red spots under your skin; severe ongoing nausea or vomiting ; sudden chest pain, wheezing, dry cough, feeling short of breath; upper stomach pain, loss of appetite; vision problems; or a seizure (convulsions). Common side effects of Toposar may include: low white blood cell counts.",etoposide (injection)
vinblastine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Vinblastine may cause serious side effects. Call ",vinblastine
Hycamtin,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Hycamtin may cause serious side effects. Call ",topotecan (oral/injection)
ifosfamide,"fever, chills, flu symptoms; mouth and throat ulcers; skin sores, pale skin, cold hands and feet; easy bruising, unusual bleeding; rapid heart rate, shallow breathing; or feeling light-headed or short of breath. Call ",ifosfamide
dactinomycin,"swelling or tenderness in your stomach (upper right side), rapid weight gain; swelling in your arms or legs; dark urine, jaundice (yellowing of the skin or eyes); redness of your skin or the inside of your mouth and throat (if you are also receiving radiation treatment); sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste; blisters, ulcers, or other skin changes where an injection was given; or low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of dactinomycin may include: hair loss ; fever, infections, low blood cell counts; rash; trouble swallowing; nausea , vomiting ; or tiredness.",dactinomycin
fludarabine,"agitation ; sudden chest pain, wheezing, dry cough, feeling short of breath; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; damage to red blood cells--confusion, weakness, pale or yellowed skin, dark colored urine; low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; or signs of tumor cell breakdown--tiredness, weakness, muscle cramps, lower back pain , nausea , vomiting , diarrhea , blood in your urine, fast or slow heart rate , tingling in your hands and feet or around your mouth. Common side effects of fludarabine may include: low blood cell counts; nausea, loss of appetite, vomiting, diarrhea; feeling weak or tired; mouth sores; or swelling in your hands or feet.",fludarabine (injection)
Tepadina,"hives ; wheezing, difficult breathing; swelling of your face, lips, tongue, or throat. Tepadina may cause serious side effects. Call ",thiotepa
thiotepa,"hives ; wheezing, difficult breathing; swelling of your face, lips, tongue, or throat. Thiotepa may cause serious side effects. Call ",thiotepa
topotecan,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Topotecan may cause serious side effects. Call ",topotecan (oral/injection)
atorvastatin,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, atorvastatin can cause a condition that results in the breakdown of skeletal muscle tissue, potentially leading to kidney failure. Call ",atorvastatin
simvastatin,"signs of a kidney problem - little or no urinating; painful or difficult urination; swelling in your feet or ankles; feeling tired or short of breath; or muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; or liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common simvastatin side effects may include: headache; constipation, nausea, stomach pain; or cold symptoms such as stuffy nose, sneezing, sore throat.",simvastatin
Lipitor,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, Lipitor can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call ",atorvastatin
Zetia,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Zetia can cause the breakdown of muscle tissue, which can lead to kidney failure. Call ",ezetimibe
ezetimibe,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ezetimibe can cause the breakdown of muscle tissue, which can lead to kidney failure. Call ",ezetimibe
Crestor,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",rosuvastatin
Repatha,"hives, severe itching; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",evolocumab
alirocumab,"hives , severe rash and itching; difficult breathing; swelling of your face, lips, tongue, or throat. Common alirocumab side effects may include: redness, itching, soreness, or swelling where an injection was given; flu symptoms; or cold symptoms such as stuffy nose, sneezing, sore throat .",alirocumab
evolocumab,"Evolocumab can cause serious side effects including: Serious Allergic Reactions . Some people taking evolocumab have had serious allergic reactions. Stop taking evolocumab and call your healthcare provider or seek emergency medical help right away if you or your child have any of these symptoms: trouble breathing or swallowing raised bumps (hives) rash, or itching swelling of the face, lips, tongue, throat or arms The most common side effects of evolocumab include: runny nose, sore throat, symptoms of the common cold, flu or flu-like symptoms, back pain, high blood sugar levels (diabetes) and redness, pain, or bruising at the injection site. Tell your healthcare provider if you or your child have any side effect that bothers you or that does not go away. These are not all the possible side effects of evolocumab. Ask your healthcare provider or pharmacist for more information. Call your healthcare provider for medical advice about side effects. You may report side effects to FDA at 1-80",evolocumab Brand name: Repatha
Praluent,"hives , severe rash and itching; difficult breathing; swelling of your face, lips, tongue, or throat. Common Praluent side effects may include: redness, itching, soreness, or swelling where an injection was given; flu symptoms; or cold symptoms such as stuffy nose, sneezing, sore throat .",alirocumab
rosuvastatin,"Serious side effects of rosuvastatin include: Muscle pain, tenderness and weakness (myopathy). Muscle problems, including muscle breakdown, can be serious in some people and rarely cause kidney damage that can lead to death. Tell ","rosuvastatin Brand names: Crestor , Ezallor Sprinkle"
pravastatin,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, pravastatin can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call ",pravastatin
lovastatin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Lovastatin can cause the breakdown of muscle tissue, which can lead to kidney failure. Call ",lovastatin
Zocor,"(hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). Simvastatin can cause the breakdown of muscle tissue, which can lead to kidney failure. Call ",simvastatin
gemfibrozil,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, gemfibrozil can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure . Call ",gemfibrozil
Vytorin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call ",ezetimibe and simvastatin
Livalo,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, Livalo can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call ",pitavastatin
niacin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",niacin (nicotinic acid)
Altocor,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using Altocor and call ",lovastatin
Niaspan,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",niacin (nicotinic acid)
Welchol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Welchol may cause serious side effects. Stop using Welchol and call ",colesevelam
Altoprev,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Altoprev can cause the breakdown of muscle tissue, which can lead to kidney failure. Call ",lovastatin
ezetimibe / simvastatin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. ezetimibe and simvastatin may cause serious side effects. Stop using ezetimibe and simvastatin and call ",ezetimibe and simvastatin
fenofibric acid,"sharp stomach pain spreading to your back or shoulder blade; loss of appetite, stomach pain just after eating a meal; jaundice (yellowing of the skin or eyes); fever, chills, weakness, sore throat, mouth sores, unusual bruising or bleeding; chest pain, sudden cough, wheezing, rapid breathing, coughing up blood ; or swelling, warmth, or redness in an arm or leg. Common side effects of fenofibric acid may include: runny nose , sneezing; or abnormal laboratory tests.",fenofibric acid
Slo-Niacin,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",niacin (oral route)
colesevelam,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Colesevelam may cause serious side effects. Stop using colesevelam and call ",colesevelam
Ezallor,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ezallor Sprinkle may cause serious side effects. Call ",rosuvastatin
FloLipid,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Simvastatin Oral Suspension
Lopid,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, Lopid can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure . Call ",gemfibrozil
pitavastatin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, pitavastatin can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call ",pitavastatin
atorvastatin / ezetimibe,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",
fluvastatin,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, fluvastatin can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call ",fluvastatin
Lescol XL,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, Lescol XL can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call ",fluvastatin
mycophenolate mofetil,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mycophenolate mofetil may cause a serious brain infection that can lead to disability or death. Call ",mycophenolate mofetil (oral/injection)
Niacor,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",niacin (oral route)
Trilipix,"sharp stomach pain spreading to your back or shoulder blade; loss of appetite, stomach pain just after eating a meal; jaundice (yellowing of the skin or eyes); fever, chills, weakness, sore throat, mouth sores, unusual bruising or bleeding; chest pain, sudden cough, wheezing, rapid breathing, coughing up blood ; or swelling, warmth, or redness in an arm or leg. Common Trilipix side effects may include: runny nose , sneezing; or abnormal laboratory tests.",fenofibric acid
ezetimibe / rosuvastatin,"hives , rash, itching; wheezing, dizziness , difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",ezetimibe and rosuvastatin
Fibricor,"sharp stomach pain spreading to your back or shoulder blade; loss of appetite, stomach pain just after eating a meal; jaundice (yellowing of the skin or eyes); fever, chills, weakness, sore throat, mouth sores, unusual bruising or bleeding; chest pain, sudden cough, wheezing, rapid breathing, coughing up blood ; or swelling, warmth, or redness in an arm or leg. Common side effects of Fibricor may include: runny nose , sneezing; or abnormal laboratory tests.",fenofibric acid
inclisiran,"hives , severe itching; difficult breathing; swelling of your face, lips, tongue, or throat. Inclisiran may cause serious side effects. Call ",inclisiran
Juxtapid,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",lomitapide
Leqvio,"Common side effect of Leqvio include: injection site reactions, such as pain, redness or a rash joint pain (arthralgia) urinary tract infections diarrhea bronchitis pain in extremities shortness of breath (dyspnea) These are not all of the possible side effects of this medication. Call your healthcare provider for medical advice about side effects. To report suspected adverse reactions, contact Novartis Pharmaceuticals Corporation at 1-888-669-6682 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch. Leqvio side effects",inclisiran
lomitapide,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",lomitapide
Roszet,"Roszet may cause serious side effects, including: Allergic reactions, including a severe reaction known as anaphylaxis. Tell your healthcare provider right away if you have any of the following symptoms: swelling of the face, lips, tongue, and/or throat which makes it difficult to swallow or breathe breathing problems or wheezing feeling dizzy or fainting rash or hives itching Muscle pain, tenderness and weakness (myopathy). Muscle problems, including muscle breakdown, can be serious in some people and rarely causes kidney damage that can lead to death. You have a higher chance for muscle problems if you are taking certain other medicines with Roszet. Tell your healthcare provider right away if: you have unexplained muscle pain, tenderness, or weakness, especially if you have a fever or feel more tired than usual, while you take Roszet. you have muscle problems that do not go away even after your healthcare provider has advised you to stop taking Roszet. Your healthcare provider may do",ezetimibe and rosuvastatin
Zypitamag,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, Zypitamag can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call ",pitavastatin
Benadryl,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Benadryl and call ",diphenhydramine
diphenhydramine,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using diphenhydramine and call ",diphenhydramine
Vicks Nyquil D Cold and Flu Nighttime Relief,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, doxylamine, and pseudoephedrine"
Vicks NyQuil Cold & Flu Nighttime Relief,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, and doxylamine"
chlorpheniramine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Chlorpheniramine may cause serious side effects. Stop using chlorpheniramine and call ",chlorpheniramine
Coricidin HBP Cold & Flu,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking Coricidin and call ",acetaminophen and chlorpheniramine
Vicks DayQuil Severe Cold & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, guaifenesin, and phenylephrine"
Benadryl Allergy,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Diphenhydramine Chewable Tablets and Orally-Disintegrating Tablets
Vicks Dayquil Cold & Flu Relief,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, and phenylephrine"
Vicks NyQuil Severe Cold & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, doxylamine, and phenylephrine"
Promethazine DM,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",dextromethorphan and promethazine
Tylenol Cold & Flu Severe,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, guaifenesin, and phenylephrine"
Vicks VapoRub,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Less serious side effects may be more likely, and you may have none at all.","camphor, eucalyptus, and menthol topical"
Coricidin HBP Maximum Strength Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, chlorpheniramine, and dextromethorphan"
Theraflu Nighttime Severe Cold & Cough,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, diphenhydramine, and phenylephrine"
acetaminophen / chlorpheniramine / phenylephrine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking acetaminophen, chlorpheniramine, and phenylephrine and call ","acetaminophen, chlorpheniramine, and phenylephrine"
Sudafed PE Cold & Cough,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, guaifenesin, and phenylephrine"
Banophen,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Diphenhydramine Capsules and Tablets
Benadryl Allergy Plus Cold,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ","Acetaminophen, Diphenhydramine, and Phenylephrine Tablets"
pseudoephedrine / triprolidine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",pseudoephedrine and triprolidine
Tussionex Pennkinetic,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Like other narcotic medications, hydrocodone can slow your breathing. Death may occur if breathing becomes too weak. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Stop using this medicine and call ",chlorpheniramine and hydrocodone>
Chlor-Trimeton,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Chlor-Trimeton may cause serious side effects. Stop using Chlor-Trimeton and call ",chlorpheniramine
Diphedryl,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Diphedryl may cause serious side effects. Stop using Diphedryl and call ",diphenhydramine
Complete Allergy Relief,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Diphenhydramine Chewable Tablets and Orally-Disintegrating Tablets
Tylenol Cold,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Acetaminophen/Chlorpheniramine/Dextromethorphan/Pseudoephedrine Caps & Tabs
Allermax,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Allermax may cause serious side effects. Stop using Allermax and call ",diphenhydramine
Bronkaid,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Ephedrine and Guaifenesin
Dytuss,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Dytuss may cause serious side effects. Stop using Dytuss and call ",diphenhydramine
Mucinex Fast-Max Night Time Cold & Flu,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, diphenhydramine, and phenylephrine"
Scot-Tussin Allergy,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Scot-Tussin Allergy Relief Formula may cause serious side effects. Stop using Scot-Tussin Allergy Relief Formula and call ",diphenhydramine
Siladryl Allergy,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Siladryl Allergy may cause serious side effects. Stop using Siladryl Allergy and call ",diphenhydramine
Sudafed PE Sinus & Allergy,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using Sudafed PE Sinus & Allergy and call ",chlorpheniramine and phenylephrine
Twilite,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Twilite may cause serious side effects. Stop using Twilite and call ",diphenhydramine
Tylenol Cold Multi-Symptom Severe,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, guaifenesin, and phenylephrine"
Valu-Dryl,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Valu-Dryl may cause serious side effects. Stop using Valu-Dryl and call ",diphenhydramine
Vanamine PD,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Vanamine PD may cause serious side effects. Stop using Vanamine PD and call ",diphenhydramine
Virtussin DAC,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Like other narcotic medications, codeine can slow your breathing. Death may occur if breathing becomes too weak. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Stop taking this medicine and call ","codeine, guaifenesin, and pseudoephedrine"
Benadryl Allergy Plus Sinus Headache,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking Benadryl Allergy Sinus Headache and call ",acetaminophen and pseudoephedrine
Primatene,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Ephedrine and Guaifenesin
acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, doxylamine, and pseudoephedrine"
acetaminophen / dextromethorphan / guaifenesin / phenylephrine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, guaifenesin, and phenylephrine"
acetaminophen / dextromethorphan / phenylephrine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, and phenylephrine"
Aller-Chlor,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Aller-Chlor may cause serious side effects. Stop using Aller-Chlor and call ",chlorpheniramine
Allergy Relief,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Allergy Relief may cause serious side effects. Stop using Allergy Relief and call ",chlorpheniramine
Mucinex Fast-Max Severe Cold,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, guaifenesin, and phenylephrine"
Mucinex Fast-Max Severe Congestion & Cold,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ","Acetaminophen, Dextromethorphan, Guaifenesin, Phenylephrine Caps & Tabs"
Sudafed PE Pressure+Pain+Cold,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ","Acetaminophen, Dextromethorphan, Guaifenesin, Phenylephrine Caps & Tabs"
Sudafed PE Severe Cold,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, diphenhydramine, and phenylephrine"
Tylenol Cold Max Day,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, and phenylephrine"
Vicks NyQuil Cold & Flu Nighttime Relief (Alcohol Free),"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, chlorpheniramine, and dextromethorphan"
